__token__,__occurence__
laboureur,6
bout,57
quelque,166
temps,502
offrit,49
produits,35
oblation,90
premiers-nés,29
troupeau,104
graisse,78
regarda,32
offrande,112
irrité,51
abattu,18
est-il,66
Si,635
fais,206
seras-tu,7
agréé,8
si,947
péché,466
couche-t-il,1
Son,58
tourne,24
dois,29
dominer,8
lui.,4
Allons,21
champs.,1
s'éleva,22
contre,1308
tua,32
Je,1379
sais,139
suis-je,31
gardien,10
mon,2215
Qu'as-tu,17
sang,451
crie,46
ouvert,52
bouche,351
recevoir,42
Quand,345
cultiveras,3
donnera,96
fruits,85
seras,143
errant,6
fugitif,8
Ma,57
peine,83
trop,63
grande,399
puisse,45
supporter,14
chassez,4
aujourd'hui,232
serai,120
caché,57
loin,192
quiconque,126
trouvera,35
tuera.,1
Eh,22
quelqu'un,182
tue,31
vengé,11
sept,416
fois.,1
signe,86
afin,849
rencontrerait,1
tuât,1
s'éloigna,10
habita,9
Nod,1
Hénoch,14
bâtir,54
ville,774
Irad,1
naquit,13
engendra,183
Maviaël,2
Mathusaël,2
Lamech,12
femmes,266
l'une,52
Ada,5
seconde,67
Sella,4
Jabel,1
ceux,1325
habitent,38
sous,416
tentes,66
troupeaux,117
Jubal,1
jouent,2
harpe,34
chalumeau,5
Tubal-Caïn,2
forgeait,1
d'instruments,2
tranchants,9
d'airain,118
fer,80
soeur,83
Noéma,1
entendez,20
écoutez,44
parole,772
tué,77
blessure,15
jeune,215
meurtrissure,6
soixante-dix-sept,4
l'appela,23
Seth,9
dit-elle,11
d'Abel,3
tué.,1
Enos,6
Ce,354
alors,226
l'on,276
commença,27
invoquer,5
livre,212
d'Adam,5
Lorsque,209
d'Homme,1
lorsqu'ils,37
vécut,53
cent,373
trente,114
ans,399
Les,1019
après,486
engendré,34
huit,53
cents,200
filles,256
Tout,174
qu'Adam,1
neuf,43
mourut,133
cinq,242
Après,195
douze,160
quatre-vingt-dix,5
Caïnan,8
quinze,22
qu'Enos,1
soixante-dix,58
Malaléel,8
quarante,112
dix,190
soixante-cinq,5
Jared,8
quatre-vingt-quinze,3
soixante-deux,5
Mathusalem,5
marcha,33
trois,421
qu'Hénoch,1
on,817
l'avait,123
quatre-vingt-sept,2
quatre-vingt-deux,2
soixante-neuf,1
Noé,54
Celui-ci,31
soulagera,2
nos,421
fatigues,3
mains,632
provenant,5
qu'a,32
Yahweh.,22
âgé,32
Sem,18
Cham,16
Japheth,10
hommes,1245
eurent,67
commencé,17
nombreux,130
né,52
virent,53
belles,15
prirent,99
parmi,496
plurent,4
Mon,202
esprit,167
demeurera,13
toujours,219
seront,530
vingt,159
ans.,1
Or,241
géants,3
ces,1075
jours-là,42
venus,96
qu'elles,94
enfants,1140
héros,37
renommés,2
dès,174
anciens,163
méchanceté,61
pensées,69
coeur,585
portaient,34
chaque,233
uniquement,4
repentit,7
d'avoir,66
affligé,10
J'exterminerai,4
dessus,136
créé,34
depuis,344
jusqu'aux,65
repens,8
faits.,2
grâce,262
juste,238
intègre,14
marchait,23
corrompit,1
remplit,19
violence,89
corrompue,3
corrompu,6
voie,220
fin,152
venue,56
pleine,52
d'eux,248
vais,194
détruire,64
Fais-toi,5
arche,9
bois,209
résineux,1
feras,182
composée,3
cellules,8
l'enduiras,1
bitume,4
dedans,44
dehors,109
longueur,74
l'arche,204
coudées,204
largeur,80
cinquante,122
hauteur,63
ouverture,8
laquelle,96
donneras,31
coudée,36
toit,30
établiras,6
étage,4
faire,785
déluge,18
inondation,3
dessous,19
périra,16
j'établirai,7
alliance,181
entreras,7
entrer,110
conserver,7
Des,109
diverses,19
espèces,12
d'animaux,4
viendront,50
conserves,3
prends,76
aliments,12
mange,83
fais-en,4
provision,4
près,270
qu'à,61
eux.,3
ordonné,152
Entre,9
maison,1871
t'ai,136
vu,281
génération,69
purs,22
prendras,58
paires,6
mâles,37
leurs,1926
femelles,2
race,88
Car,1156
pendant,386
nuits,20
j'exterminerai,16
six,163
entra,78
échapper,24
paire,7
vint,240
répandirent,14
L'an,2
deuxième,38
mois,249
dix-septième,6
sources,36
abîme,6
jaillirent,2
écluses,3
pluie,80
tomba,57
durant,30
même,749
Japhet,1
eux,976
petits,125
ailes,73
vinrent,145
arrivaient,8
ferma,8
grossirent,1
soulevèrent,7
crûrent,2
devinrent,15
extrêmement,8
grosses,7
flotta,1
grossi,2
couvrirent,10
hautes,14
montagnes,164
entier,52
s'élevèrent,5
recouvraient,2
Toute,60
périt,19
sauvages,23
existe,8
sèche,20
détruit,45
l'animal,11
domestique,2
exterminés,16
resta,64
souvint,15
passer,127
vent,122
baissèrent,1
fermèrent,2
cessa,9
retirèrent,8
allant,20
revenant,7
elles,339
s'abaissèrent,1
s'arrêta,28
d'Ararat,4
allèrent,80
retirant,2
jusqu'au,229
dixième,48
apparurent,5
sommets,13
ouvrit,29
fenêtre,18
lâcha,7
corbeau,5
sortit,138
fussent,20
séchées,1
ensuite,111
colombe,19
d'auprès,20
avaient,360
diminué,3
n'ayant,13
trouvé,131
poser,12
plante,29
pied,134
revint,46
étendit,30
l'ayant,109
rentrer,5
auprès,289
attendit,3
autres,289
nouveau,170
hors,109
feuille,6
d'olivier,9
fraîche,5
bec,2
reconnut,14
séché,5
ôta,15
couverture,28
vingt-septième,6
parla,196
Sors,9
Toutes,41
fais-les,4
répandent,12
meuvent,3
sortirent,52
construisit,12
autel,92
holocaustes,106
l'autel,276
sentit,4
odeur,49
maudirai,3
désormais,24
mauvaises,38
jeunesse,58
frapperai,23
l'ai,132
Désormais,2
tant,72
durera,9
semailles,4
moisson,57
froid,11
chaud,8
l'été,9
l'hiver,9
cesseront,7
point.,4
craints,1
redoutés,1
bête,90
livrés,42
servira,28
avais,29
Seulement,37
âme,299
c'est-à-dire,23
demanderai,6
compte,56
âmes,48
redemanderai,4
l'âme,54
Quiconque,60
aura,406
versé,29
soyez,109
répandez-vous,1
établir,16
sortis,54
Jusqu'à,10
J'établis,2
détruite,9
ravager,4
l'alliance,111
mets,86
générations,36
mis,287
arc,24
nue,25
deviendra,30
d'alliance,7
j'assemblerai,1
nuées,29
l'arc,34
apparaîtra,10
souviendrai,11
détruisant,3
L'arc,2
regardant,10
éternelle,115
Tel,46
établie,10
Chanaan,94
Ces,75
peuplée,3
cultivateur,1
planter,7
vigne,114
Ayant,75
bu,30
vin,212
s'enivra,1
découvrit,3
tente,290
nudité,55
alla,217
rapporter,7
frères,537
manteau,70
épaules,16
marchèrent,17
reculons,1
Comme,236
tourné,32
arrière,31
réveilla,6
ivresse,2
apprit,30
Maudit,27
serviteur,469
serviteurs,440
Béni,53
l'espace,13
habite,63
Tous,156
Fils,460
Gomer,6
Magog,5
Madaï,2
Javan,8
Thubal,5
Mosoch,7
Tiras,1
Ascénez,2
Riphath,2
Thogorma,4
Elisa,1
Tharsis,20
Cetthim,1
Dodanim,2
viennent,87
peuples,241
dispersés,34
îles,29
nations,453
divers,13
chacun,380
langue,141
familles,197
Chus,7
Mesraïm,4
Phuth,1
Saba,25
Hévila,6
Sabatha,2
Regma,4
Sabathaca,1
Dadan,5
Nemrod,4
celui-ci,61
puissant,62
vaillant,20
chasseur,6
empire,4
Babel,49
Arach,1
Achad,1
Chalanné,1
Sennaar,7
Assur,22
bâtit,80
Ninive,16
Rechoboth-ir,1
Chalé,2
Résen,1
Ludim,2
Anamim,2
Laabim,2
Nephthuim,1
Phétrusim,2
Chasluim,1
Philistins,261
Caphtorim,2
Sidon,32
premier-né,108
Heth,14
Jébuséens,29
Amorrhéens,76
Gergéséens,6
Hévéens,23
Aracéens,2
Sinéens,2
Aradiens,2
Samaréens,2
Hamathéens,2
Ensuite,27
Chananéens,55
territoire,84
direction,37
Gérare,11
Gaza,24
Sodome,48
Gomorrhe,23
Adama,2
Séboïm,5
Lésa,1
Tels,29
