__token__,__occurence__
sɔnti-mɛ,9
hi̧i̧,807
gboo,391
kpasawen,320
Ɛvɛ,5
laa,565
ndàrá,47
pi̧,987
Kinii,243
ɓi,39
ɓɔna,1221
kpoo,757
ndak,353
yinɛ,1119
Ɗoŋ,292
ndaka,204
kaɗi,1504
betom,498
keribim,72
gba-paa,364
leɓe-wee,35
Wíì,12
Kain,22
kpaa,715
koo,455
mbe-a,94
Abɛl,13
nya,280
só,91
wi-dai-mɔ,32
wi-wa-fɔ,17
kaia,616
ŋmara,2
zu-a,326
be-sami,129
mur-aa,6
kpɛka,120
ha̧a̧mɔ,312
kpɛk,211
ɗaŋsee,134
zum,10
Wen,1065
sá,58
Kà,1029
yuwar-a,948
tɛ̀ɛ́,744
tua,1140
kpá,64
nya-wi,95
kpɛɛfɔ.,1
tika,216
gbɛ,879
aka,277
Nya-mɛ,3
wi-pɛm,13
tiger,110
tɔk-tɛ,62
nya-mɛ,76
hiɗi,133
mbɔɗɔnu,139
nɔɔ,110
gbaia,47
er-mɛ,111
dɔka-a,470
wi-yar-war,2
yambala-bíí,1
Bɔnɛ,73
gana,319
K,523
am,749
sɔsɔɔ,310
oi-am,8
yar,116
yambali,52
kifa-er,20
mɔɔrɔ-ɗoŋ-yiitoo.,1
mɔɔ-sedaako,39
nɛ́ɛ̀,530
nyɛi̧,276
yak,1041
Nod,1
Enɔk,17
ye,1820
ye'i,164
kòó,44
Irad,2
Mehiyaɛl,2
Metusaɛl,2
Lamɛk,13
nana-gun-aa,1
Ada,8
zɔŋa-a,1
Sila,4
Yabal,2
zɔmdáa,155
tua-laa,101
dai,78
nya-a̧,184
Yubal,2
wi-mbɛr-kunde,2
wi-dɔm-fol,3
Tubal-Kain,2
wi-dui-dɔra,1
Boko-nya,4
Naama,7
zíí,308
gbɛɛ,342
da̧i̧,79
be-ŋgaiwi,58
gusa,70
Kifa-er,3
ɓu-mɔɔrɔ-ɗoŋ-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo,3
be-wiwii,160
nin-a'e,54
Sɛt,11
kɔ̧ɔ̧,1093
mbe,355
bezaŋ,776
oi,1450
Enɔs,9
ŋgimbi'i,231
Kalata,72
pɛ́r-nam,30
Wese,91
nin-wa'e,3
130,1
800,2
be-okoo,86
930,1
105,1
807,1
912,1
90,1
Kenaŋ,5
815,1
905,1
70,1
Mahalalɛl,7
840,1
910,1
65,2
Yɛrɛd,7
830,1
895,1
162,1
962,1
Matusalɛm,5
nɔ̀,152
300,1
365,1
nɛɛ,306
187,1
782,1
969,1
182,1
Nɔe,53
Wi,778
nɔɔ-ŋgiɗi,138
ɛɛ,1550
yɛ,948
595,1
777,1
500,2
Sɛm,24
Kam,15
Jafɛt,10
boko-bem,252
yora,133
zɔŋa,120
kɔ̧a̧,422
ɓɔnsɛnɛ,479
120,2
fee,190
kusa-wi,2
ndaɗa,36
ŋgaŋa-wi,68
hura,34
dɔk,230
kpaia,50
sa'i,6
See-aa,6
nyima,48
kum,294
gu,379
gáà,33
desee,563
__Error__,826
Zaŋnu,4
ŋgayamɔ,398
ɗaŋa,304
naŋanɔ,74
War,146
sɔŋkur,111
ŋgamɔ,305
ɗaŋ,1076
kombon,167
nika-te,1
gɔ́n,56
bɛr-aa,5
gɔn,644
yɔ́k,2
ɗoŋ-aa,407
mɔɔ-dɔ̧i̧-mɔ,2
zi̧a̧-a̧,28
mɛtrɛ,230
133,2
pɛsa-a,86
22,1
kusa-a,39
13,1
bá,1088
ger-tua,1
kombon'i,12
é,355
woi-aa,5
ká̧-a̧,6
reeta,191
nú-a,225
Kɔ,73
ndiɓa-kórò,6
kuma,145
tɔk,294
mɛɛ,179
yé,62
kɔ-wa,2542
Mgbara,90
káí,108
zuduk-wa,7
kpasi,428
kóò-a,10
wíì-a,9
geɗek-a,56
mɔ́í̧,46
ha̧a̧nú,174
ɓàà,1
wi-de-mɔ,370
sa̧a̧,495
zuduk,478
ɓu-naar,79
600,1
yee,302
ha̧a̧-yì,15
hur,65
gɔmŋmaa-mɔɔrɔ-ɗoŋ-kpɔk,17
fio-zɛ,159
ɓu-zua-mɔɔrɔ-ɗoŋ-yiitoo,14
kpút-kpút,16
mbaŋa,99
woi,13
hú̧í̧,74
bóóŋ,7
Kórò,6
zuɗa,16
Wese'i,130
mɔɔ-bu̧i̧-bu̧i̧,1
Duka,37
Ndiɓa-kórò,1
kur,453
mbɛr,56
mbayaŋga,2
yaknɛ,371
kusa,91
kaya,746
hai,25
saa'e,8
saɗi-zan,1
ku̧u̧naŋ-a,205
Ha̧a̧-yì,1
gɔmŋmaa-nɛ-ɓu-mɔɔrɔ,7
Tɛ,446
búk,134
yu,410
ku̧naŋ,11
ɔ̧sa̧-a̧,2
kpea,5
gɔna,468
daka,37
ɔ̧si,10
mɔktɛ,16
Tɛ́,61
zira,146
Arara,2
ɔ̧sa̧,32
hegɔɔ,94
ɓu,182
ɓu-zua-kpɔk,25
gboa-a,34
pi̧i̧,327
gba-kɔra,11
gbaku̧i,18
kà,1297
Gbaku̧i'i,2
nɛa,18
gua-a,1
zù,9
nyɛi̧a,131
pia,220
gbaa-er,25
te-nɔ̧́,32
601,1
zɔma,2
mɔɔ-kpe-zu,5
ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo,5
gbó,85
gbonɛ,211
nyɛɓi,13
dam,437
mboo,230
fara-ɗafi-sɔ̧,321
dɔ,326
ɗafi,443
Pɛr,4
dɔɔ-kpoo-sɔ̧,51
Nɛ,489
gasi,393
guna,107
mɔi̧a-a,41
gɛ̧ɛ̧,23
gbɛ̧ŋmɔ,9
bɛɛ,13
ɓar,78
yu'nɛ́,13
nɛti,449
tɔk-aa,54
bó,1265
tɔk'i,23
saɗi'i,59
ŋma-a̧,1
gbai,42
wìì,5
in'nɛ̀ɛ́,282
nɔɔ-tɔk,285
ɓutu,4
tura-zan,91
tur,19
mbaŋ,247
yɔr,125
Mɔɔ-sedaako,1
Kanaŋ,158
taar'i,31
fɔ-nyak-dɔ̧ɔ̧,47
dɔ̧ɔ̧-a̧a̧,3
gba-laa,28
