__token__,__occurence__
1.365,1
bereŋ,10
tati,13
fara-a-nyɔŋmɔ,4
tasi-nyɔŋ-mɔ,1
tasi-nɔ-mɔ,1
yèé-nɔ-mɔ,4
yèé-a-zɛzɛ,1
Brɛt,4
mɔɔ-a-bùk,1
nyɛk-a-nɔ̧́,1
soi-soi,1
mɔɔ-aŋ-wee,1
mɔɔ-fo-wee,1
mɔɔ-ɗu-bùk,1
kpoŋgo,1
mɔɔ-de-tom,3
tuia-a,2
nɔ̧́-lamba,1
tui-nyɛk,1
laa-ɓor-tua,1
laa-kpe-ɗoŋ,1
tuia,31
mɔɔ-de-tom-aa,1
2.750,1
2.630,1
3.200,1
Dɔka,17
8.580,1
taamɔ́-gɔya,2
ha̧a̧mɔ-dee-gɔya,2
bee-mɔ,4
kalaafi,4
ha̧a̧mɔ-bee-mɔ,1
yì-bee-mɔ,1
paŋa,7
‹Kà,17
yí-fom,1
ndɔr,4
mɔɔ-tɔ̧-tua-wen,5
Yí-fom,1
ndɔra.›,1
‹Ii,1
ɗɔa-a'i,1
yí-fom'i,2
ha̧a̧mɔ-dee-gɔya'i,1
Zaŋ-aa,3
Foo,1
yuwar-mɔɔ-nazir,4
siɗi,2
kora-a,4
kaɗa-a,4
mu̧i̧-zu-a,5
yuwar-mɔɔ-nazir'i,2
ɗafa-a,11
mgbara-a,53
mu̧i̧-zu,4
ndaɗa-ndaɗa,3
ŋguɗi,9
ee-tɛ,1
tɔra-bíí,3
Keekee-nyaŋa,1
kìí,1
pɛsa-tasi,13
dita-a,29
gba-yee,14
mɔɔ-nɔ-mɔ,32
Amnidab,1
Netanɛl,2
Hamihud,1
Gedeɔŋ,62
dita-wa,6
ɓu-yiitoo-zua-naar,18
Dita-wa,1
Tiger'i,3
yì-zɔra-gaŋmɔ,1
vai̧a,1
tɛɛ́,6
hà̧,5
hà̧á̧,3
tɛ̀ɛ̀,129
bàá,53
War-tɛ-ɛɛ,1
nɛɛ́,5
heembea-a,2
tura-zan'i,5
tuyɛ,12
ndaa-ŋmaa,8
dɔ́m,12
Dɔma,1
kura-a,18
bi'nɛ́,6
kpasi'nɛ́,21
mbe-yi-zɛ,10
gbara-a,4
yaia,17
Tutuwal,1
Salamiɛl,1
ndaa-gɔtɔ,3
for-wi,4
Obab,2
mɛ́'ɛ,7
wi-usi-war,4
Tura-zan,3
wi-kur-zu'nɛ́,3
píí,50
Tabera,2
kpoo-nyɔŋ,1
gala,1
ti̧i̧ri,2
Man,1
Gè,1
dukbíí'ɛ,42
ŋguɗ,3
ɛ̀n,8
ám,10
dee'nɛ́,4
bɔnɛ'ɛ,7
ɛ̀nɛ̀-mɛ,3
sɛ̧ɛ̧,1
Ŋgai,32
ɓu-mɔɔrɔ-ɗoŋ-yiitoo'i,4
Ɛldad,2
Mɛdad,2
dór,12
hara-búk,15
delele,2
zɛɛ-geŋa,37
Kibrot-Taawa,5
Pɛsi,1
Aa-see-mɔ,3
wi-a-see-mɔ,3
Hasɛrot,3
wi-mɔka-see,27
Ahai,6
mɔɔ-kɔ̧-tua,2
yí-wen,2
soɓee,8
ɗaŋwi,78
hɔɔ-bem,6
kpás'a,4
ziimɔ,47
Haserot,2
Samua,5
Zakur,10
Safat,7
Ori,1
Kalɛb,41
Yefunɛ,16
Yigɛal,3
Ozea,2
Palti,3
Rafu,1
Gadiɛl,1
Sodi,1
Gadi,3
Susi,1
Amiɛl,6
Gemali,1
Setur,1
Mikaɛl,11
Nabi,1
Vopsi,1
Geuɛl,1
Maki,1
ɓɔsa-wi,7
nú-dɛm-nyɔnɔ,4
piinɛ.,1
ku̧u̧naŋ-waia-a,1
Rehob,10
Lebo-Hamat,7
Ekrɔŋ,24
Anak,15
Ahiman,2
Sesai,3
Tolman,1
Tanis,3
grenad,1
kɔ̧-ɗɔŋgɔ,1
sikila,8
waya-te-nù,1
Yibere,1
zɔka'i,14
kusi,20
tugun-wa,4
gba-tɛ-bíí,1
zɛzɛzɛ,1
fé,18
ŋga-gbárà'ɛ,9
naŋ-a'i,3
gi̧ɔ̧,37
gbaayí-wa,8
nyɛrɛ-a,28
hu̧ra,7
daa,5
ník,1
bɔkɔ-nù,20
sinɛ̀,1
Ku̧i̧amɔ,1
ndekeli,1
naŋanɔ-kpe-naŋ-mɔ,1
kafɛ,33
wi-ŋga-see,7
ndaa-wen,2
kɔna,9
ŋguɗi-wa,1
Ɔrma,8
tugun-aa,7
mɔɔ-nù,8
zu-nyɔŋmɔ,3
kuti-brɛt,1
saka-yí,10
yó,8
mɔɔ-naŋ-laa,1
mbɛlɛ-mbɛlɛ,1
Dataŋ,10
Abiram,11
Eliat,1
Pɛlɛt,11
gɔmŋmaa-yiitoo-nɛ-ɓu-mɔɔrɔ,11
wi-ba-keta,14
hu̧ra-nin,5
za̧i̧a̧,2
hok'i,1
kɛ̧i̧-wee,21
za̧i̧,2
nyɛm'nɛ́,9
gbìsì,38
hu̧i̧,50
gúr,1
fuu-nyama'i,1
mɔɔ-a,2
Ŋgamɔ,11
booro-ɓu-zua-naar-nɛ-gɔmŋmaa-mɔɔrɔ-ɗoŋ-yiitoo,1
Dɔra,1
ɓɔa,9
Dɔ́rá,1
doa,6
waya'i,1
wi-de-ŋgazu,16
tom-sa̧a̧-fara,1
wi-gbak-mɛ,1
Kɔ-mɛ,19
kpoo-ɗafa-mgbara,1
ŋmar,2
kaya-mɔ-dai,1
ndiŋ-a,1
kɔya-bu-mbɔi,1
Kɔya-bu-mbɔi,1
tɔk-wa,3
Kpoo-aa,1
zu-mbɔi,3
wi-dɛm-nyɔnɔ,1
Zu-mbɔi,1
nɔ̧́'ɛ,4
ɗáŋ,22
wee-ndai'i,1
Ɗoŋ-aa'i,6
wi-simbo,13
bùk'i,2
zɔra-gaŋmɔ,1
yì-zɔra'i,4
sa̧a̧-fara-duk,1
yì-zɔra,3
ndiŋ-mɔɔ-simbo,1
bùk-wee-ɗafa-sɔ̧,1
wi-simbo'i,2
wi-misi̧,1
mɔɔ-simbo,2
nya-yɛ,1
fara-bɔnɛ,3
Te-mbɔra,2
suli,2
a̧r,32
ɓira-a,13
Ɔr,11
Yí,29
Arad,5
Atarim'i,1
nyɔŋmɔ-kaɓa,1
gɔk-ndɛrɛ,6
diŋa,2
Obot,4
Ye-Abarim,1
be-zer,36
Zɛrɛd,4
Arnɔŋ,25
Yi'i,1
Biro,16
Vahɛb,1
Sufa,1
Ar,5
Bɛr,2
ŋmai̧,6
zɔ́n,97
Matana,2
Nahaliɛl,2
Bamɔt,2
Pisga,8
Sihɔŋ,37
Yahas,7
Hɛsbɔŋ,38
wi-yɔr-mɔ,22
Kɛmɔs,8
Dibɔŋ,11
Nɛfa,1
Madaba,4
Yazɛr,14
Basaŋ,52
Og,23
Ɛsdrɛi,1
Jeriko,66
Balak,40
Sipɔr,7
zɔ̧'ɛ,4
Balam,72
Beɔr,5
Pɛtɔr,1
zɔ̧ɔ̧-am,2
fóm,7
wi-zɔk-mɔ,30
kɔfa'nɛ́,3
nana-tuifuu,9
Yaka-a,2
Nana-tuifuu,4
mbar-nyaŋa,1
Tuifuu,3
kpor,2
ɓɔɔŋ,1
zɛkɛɗi,39
ɛnɛ'ɛ,79
Ir-Mɔab,1
nduti-nù,19
Kiriat-Husɔr,1
Bamɔt-Bal,2
BƆKƆ-NÚ,1
MƆAB,1
kam-ta,40
fara-zɔk-mɔ,1
sumbura,3
mɔɔ-wan,87
bara-nam,4
Zɔkamɔ,5
aa-ŋgala,1
foma,11
Pɛɔr,7
gba-gbana,2
foka-yì,30
bɔr-nyɔnɔ,5
zɔr-zɔr,5
Agag,7
gbana,8
wan-duk-ti,3
yaia-a,1
bìì,110
kai'nɛ́,24
Sitim,4
nyɔŋmɔ-ɗafi-sɔ̧,2
Bal-Pɛɔr,6
wan-gɔn-kita,13
booro-ɓu-yiitoo-zua-naar,3
Zimri,15
Salu,3
gbɛa'i,5
Kosbi,2
tík,33
kúm,24
ɔra'nɛ́,2
Zuduk,23
43.730,1
Nemuɛl,2
250,1
mɔɔ-tɔ̧-mbɔrɔ,2
Zɛra,12
22.200,1
Ozni,1
76.500,1
Yasub,3
64.300,1
60.500,1
Yezɛr,1
Elɛk,1
Asriɛl,2
Semida,2
Selofehad,8
Hefɛr,4
Mala,5
Nɔa,4
Ogla,4
Tirsa,17
52.700,1
Sutɛla,4
Bekɛr,1
Tahaŋ,3
Ɛraŋ,2
32.500,1
Ahiram,1
Sefufam,1
Hufam,1
45.600,1
Suham,2
64.400,1
Beria,2
45.500,1
601.730,1
booro-ɓu-yiitoo-zua-taar,2
mɔɔ-oi-aa,34
Abarim,4
gbo.,1
piiɗoŋ,15
wi-dai-a,4
usi'i,7
yí-zɛ,14
Gbaŋa,11
Zu-nyɔnɔ,1
Fio-zɛ,2
ɓu-zua-naar'i,1
Mɔɔrɔ-ɗoŋ-taar,1
Mbe-pɛ,1
dora-tɛ,4
gbia,3
tua-wíì,6
usa'e,9
boi-biro,42
booro-bu-zua-yiitoo,1
wi-tui,2
mɔɔ-dɔm,11
dɔma-a,3
kuma'i,1
Evi,2
Rɛkɛm,4
Rɛva,1
saɗi-tui-mɔ,4
usa-a,6
fara-biro,4
tuŋgu,7
yoɓamɔ,2
mɔɔ-oi-biro,35
675.000,1
72.000,1
61.000,2
32.000,1
337.500,1
675,1
Ndai,4
36.000,2
ɓu-mɔɔrɔ-ɗoŋ-yiitoo-zua-yiitoo,3
30.500,2
ɓu-mɔɔrɔ-ɗoŋ-kpɔk-zua-kpɔk,1
16.000,2
kana-pi̧-er,1
mɔɔ-pi̧-zer,1
mɔɔ-a-ger,1
gɔmŋmaa-nɛ-ɓu-mɔɔrɔ-ɗoŋ-yiitoo,1
Atarot,4
Dihɔŋ,1
Nimra,1
Eleale,5
Sebam,1
Nɛbo,13
Bɛɔŋ,1
Kadɛs-Barnɛa,10
wen-gbin-tɛ,1
nika,2
mɔɔ-de-biro,10
Arɔɛr,16
Atrɔt-Sɔfaŋ,1
Yɔgbɔha,2
Bɛt-Nimra,2
Bɛt-Araŋ,1
Kiriataim,5
Bal-Mɛɔŋ,3
Sibma,2
woyo'i,3
Yair,14
Nɔba,3
Kɛnat,2
Nɔ̀,2
Pi-Harirot,2
Bal-Sɛfɔŋ,1
Dɔfka,2
Alus,2
Rifidim,2
Ritma,2
Rɛmɔnfɛrɛs,2
Libna,19
Risa,2
Kɛhɛlata,2
Sefɛr,2
Harada,2
Makehelot,2
Tahat,9
Tera,3
Mitka,2
Hasmɔna,2
Mɔsɛrot,2
Beneyakaŋ,2
Horgidgad,1
Hɔrgidgad,1
Yotbata,3
Abrona,2
Isiɔŋ-Gebɛr,2
Ɔrka,1
gɔmŋmaa-nɛ-ɓu-yiitoo-zua-taar,1
Salmɔna,2
Punɔŋ,2
Iye-Abarim,2
Dibɔŋ-Gad,2
Almɔŋ-Diblataima,2
Bɛt-Ha-Yesimɔt,2
Abɛl-Sitim,1
gak,3
ɔm'nɛ́,1
nasi'nɛ́,1
gbìsì-a,1
Gbìsì,41
Akrabim,3
Asar-Adar,1
Asmɔŋ,3
Mɛditeranee,3
Sedad,1
Zifɔŋ,1
Asar-Enaŋ,2
Sefam,1
Nibla,1
Ain,5
Kinɛrɛt,4
Semuɛl,1
Elidad,1
Kislɔŋ,1
Buki,6
Yogli,1
Haniɛl,2
Siftaŋ,1
Parnak,1
Paltiɛl,2
Azaŋ,1
Ahihud,1
Sɛlɔmi,1
Pɛdahɛl,1
Levii'i,7
kpa'i,6
hɔɔ-kɔ-mɔ,10
ɓu-naar-zua-yiitoo,5
ɓu-naar-zua-mɔɔrɔ-ɗoŋ-kpɔk,2
fara-hu̧si-sɛnɛ,2
fara-hu̧si,36
wi-kifi-er,14
wi-gbɛ-zu,43
gbɛ̀ɛ́,9
yoo,28
wi-gbɛ-zu'i,7
bò,5
wi-kifi-er'i,1
Wi-gbɛ-zu,4
gbɛɛ-zu,30
kita-fio,14
war-nù,3
Boko,7
Araba,12
Suf,4
Tofɛl,1
Di-Zahad,1
Ka'i,3
Hɔrɛb'e,1
‹Zɛ,1
Libaŋ,61
ɗoŋ.›,3
sii-kafɛ,8
wi-iŋ-mɔ,31
wen-tɛ-wa,2
wi-ya-zu,3
gɔna-kita,74
gán,1
‹Ɛ̀ɛ̀,6
tɛ-ɛɛ,41
tuia'nɛ́,2
ɛ.›,9
nyimsea'e,1
‹Ŋma,13
i̧sa'i,1
‹Kóó,4
wi-gbak-am,9
mɔɔ-bi-biro,1
mgbúzúk,3
zi-gɔrɔ,2
pɛsa'nɛ́,3
nyeŋ,2
ɓan'nɛ,3
Elat,7
Esiɔŋ-Gebɛr,1
Emit,2
Anak'e,1
ɓeemɛ,59
‹Kinii,4
kú,8
Kura-a,1
ɓu-taar-zua-mɔɔrɔ-ɗoŋ-taar,3
‹Sɔsɔɔ,2
Zamzumim,1
Av,2
kú̧,5
Sɔsɔɔ,26
nyɛrɛmɔ,42
Kɛdɛmɔt,4
ɛ́ɛ́.›,2
gboŋgo,57
Kana,10
Edrɛi,6
Argɔb,5
kpar-nú-a,15
Hɛrmɔŋ,14
Siriɔŋ,2
kɔ-wa'e,27
Sɛnir,2
Salka,4
gado-boi,1
Raba,17
mɔɔ-we-mɔ,18
Gɛsur,13
gbisi,25
laa-biro,15
‹Bo,4
nɛ́.›,2
gana'nɛ́,2
‹Nyɛma,1
Bɛt-Pɛɔr,4
Bal,81
‹Gasa,21
kɔf'aa,2
kɔ-wa.›,5
zugur'nɛ́,10
sɛka-mɔ,6
dora'nɛ́,3
wee-dɔ-mɔ,2
ɔ́r,3
kpar'nɛ́,4
pɛr-mɔ,1
sɔ̧-tɛ,20
Tɛ-a,13
weamɔ,27
ŋgaŋamɔ,13
fara-hu̧si-tɛ,17
Bɛsɛr,2
tɔyɛɛ-gɔn-see-nù,1
Ramot,27
Golaŋ,3
Fara'i,16
Siɔŋ,152
yámbí,9
baa-a,4
‹Tɛ-mɛ'ɛ,1
Tɛ-mɛ'ɛ,6
zɛ-mɛ,2
ɓɔ́n,13
tom.›,1
sɔ̧-tɛ-mɛ,4
mɔɔ-sedaako-a,3
kpar-nú-garo,4
mboa,13
baa'nɛ,4
tana,34
ta-zu-nù,13
sɛka-te,12
gbɛa,14
fɔ-alkamaari,1
nana-ndai,7
nana-sami,4
wi-sɛn'nɛ́,11
ɛ̧,74
ŋgai-te-er,2
dɛnɛ,2
dai'nɛ́,4
kam,8
ɓu-naar'i,1
pata-a,3
fon,10
te-mbɔra,38
te-kóɓò,1
sɔ̧ɔ̧-boi,1
zɔna,38
tore,7
ŋgai-tɛ-er'nɛ́,1
déé,7
ta-tɛ-a,8
sɔ̧.›,1
mɔɔ-ɗaŋ-see-aa,2
nduku-nduku,9
ɛ́nɛ́›,1
ŋgai-te-er'nɛ́,1
sɛ́k,4
kuɓa-te,2
kuɓa'i.›,1
te-akasia,1
Bɛnɛ-Yakan,1
Mɔsɛra,1
Gudgɔda,2
Mɔɔ-oi,24
ŋgai-te-er-a,2
keekee-biro,19
hu̧r,12
war-yì,4
fɔ-wa̧a̧-kpoo,1
kaɗa-pɛ,1
nú-kórò,7
mbòó,4
Garizim,4
Gilgal,36
ndak'i,3
Fara-ɗafi,1
kɔ̧a̧'ɛ,1
fara-ɔm-tɛ,13
kalamba,15
kɔɗɛ,7
kàyà,1
wɔ-a,8
Wi-simbo,1
Ɓaa,7
nde›,4
hɔ́,22
wa›,1
ɔr'nɛ́,20
nyak-zaŋ-dua,1
tula-bíí,1
gbadua-zaŋbɛɛ,2
sami-zaŋbɛɛ,1
kɔtɔ-naŋ,3
kparɛ,3
kɔtɔ-naŋ-wa,1
Ŋgɔya,2
kɔtɔ-naŋ-a,1
mɔɔ-ɗɔɔ-yì,1
saɗa-tɛ,2
pɛfi-gbɔɗɔ,1
gɔtɔŋ,1
nɔi-zambɛrɛ,1
ɗɔ̀r,1
nana-gbadua,1
ɓur,6
zaŋ-wa,23
nyamandoi'i,10
ŋgoko,1
taamɔ'ɛ,1
‹Mɔɔrɔ-ɗoŋ-yiitoo,1
zu-a'e,3
nyaŋ,24
‹Ɛnɛ,6
wi-bɔnɛ,29
kpar-nú-tua,2
ɗɔ́í,1
kpaa-zu,2
kputu,3
kɔɗɛ'ɛ,1
brɛt-kaɓa,1
ye'nɛ́,2
bɛ̧i̧,1
kita'i,9
Yɔra,3
yambi,11
zɛ-wan,1
yaŋgo-a,1
wi-a-ŋgala,3
wi-pi̧-tani,1
wi-de-nyina-ba-see,1
sɔ̧-tɛ-bíí,1
‹Daden,1
fe.›,2
wi-gɔm-te'i,2
nɛtɛ.›,1
sɛ́n,6
mgbara-nù,2
Wi-sedaako,2
gɔɔmɔ,12
wi-sedaako'i,1
kɛr,39
kpi̧i̧,10
te-wai-wai,1
wɔr'i,6
be-zɔŋa-ndai,1
mɔɔ-wa-fɔ,1
wen-ee-da̧i̧,1
ger-a'i,1
yí-ɛɛ,16
ndáɗí,6
pi̧a,14
búsí,1
wi-hɔ-ti,1
sɛn'i,3
be-kai-mɔɔ-oi,3
nú-garo,14
be-ŋgazu,1
wi-ɗaɗa,2
wi-gbɛ-dɔ̧ɔ̧.›,1
wɛr,14
yaa-nɔ̧́í̧,1
kui-a,1
ɓor,3
‹Kóò'ɛ,1
kaɗi›,1
‹Boko-bem,1
be-zɔŋa'i,6
fio-a,1
hak,3
Be-dàlà,1
Bezaŋ,2
Petɔr,1
mɔɔ-za̧-mɔ,1
za̧,18
kpasa'nɛ́,8
mɔɔ-foe,11
ko-de-dàlà,10
wiwii-de-dàlà,6
ta-tɛ-mɛ,1
hik,1
kalata-gbia-a,3
ta-hɔ̧n-mɔ,8
kiitɛ-wi,27
wi-zu̧,1
ziŋina'i,1
wi-kɔsa,76
tom-sede,2
sede-tom,6
I̧i̧,10
waya-te-nɔ̧́,6
nyasi,27
ŋmáá,3
wan-fio,9
‹Nya,2
nya-a̧.›,1
na›,2
‹Nutua,1
naŋ.›,1
zim-tɛ,1
ŋgoɓo,15
ao,5
‹Dáà,12
kɔsa,10
ɛ́nɛ́'ɛ.›,1
pɛ-ha̧a̧mɔ,1
tu̧u̧-tɛ-mɔ,26
ɓɔndɔ,5
mboo-mɔ,13
‹Fom,15
er.›,1
ɗɔaa'e,22
‹Aamɛn,11
geemɔ.›,3
ŋma-wi.›,2
war.›,1
ko-gera.›,1
‹Aamɛn.›,1
kóò.›,1
zóóŋ.›,1
yari,14
ba'nɛ́,33
ŋga-zɛɛ-geŋa,4
zɛɛ-ɔ̧ki,1
zɛɛ-gɛ̧ɛ̧,2
mbɔ-yí,1
ŋga-kaara,1
gbɛɛ-dua-mɔ,4
laambam,5
Yiwese,26
Wɔr'nɛ́,1
gba-da̧i̧,8
tárá-tɛ,1
dawa,8
Dawa,1
ku-mɛ,2
tom'nɛ́,2
mɔɔ-nyɛr,22
mam'nɛ́,2
zao-a,2
nɔ̧́-sɔ̧-tɛ,3
gásì,8
tortɛ,109
bɔnɛ-wɔ,2
kpáŋá-boi,1
mgbii-zan,16
ta'nɛ,1
wi-bɔtɛ,3
ko-bɔtɛ,1
yí-see-aa,2
sara-ku-a,1
mɔɔ-e-nɛ-ta,35
ɗɛɗɛ,38
hi̧fi'nɛ́,1
Gba̧a̧-wen,8
zɔka'nɛ́,6
yaa-a,12
kunin-te-ma̧a̧da,1
tá,40
zu-wi,20
ɓɔɔ-nù,1
‹Nù,3
Nyɔnɔ,7
kana'nɛ́,1
bàà,9
Jurdɛn'i,2
yambii,5
see-am,180
‹Ŋgamɔ,1
ɛɛ'ɛ,9
gɔ.›,2
gima'i,10
Ɗoŋ-aa,11
nuŋui,3
dɔmbɔrɔ,6
Gɔɔmɔ,1
de-wi,16
wi-de-mɔɔ-gɔŋ-zaŋ,1
dukbíí-de-ŋgamɔ,2
wi-dawa,14
ɗafi'nɛ́,7
tugun'nɛ́,1
tú̧-yí-wí,1
zúa,1
sɔkɔr-ta,7
yí-dɔ̧ɔ̧́,2
Kam-ta,8
mɔɔ-kpas'aa,1
kíí-wa,3
koo'nɛ́,2
ziɓi,10
ma̧a̧da̧,7
gba̧a̧-nin,8
zar,26
Be-ŋgaiwi,2
be-zɔɗi,11
Dɔ̧ɔ̧,9
ma̧a̧da̧-ndiɓa,1
ma̧a̧da̧-firi,1
dɔ̧ɔ̧-zɛzɛ,1
gbák'nɛ́,2
zɔ̀k,26
bɛ́ŋ,2
er-ɗaŋmɔ,1
wi-sɛn-am,15
Gba-paa,29
mur-tɛ-wa,3
te-er-a,5
fara-ɗafi'nɛ,5
wi-pɛm-a,3
waya-mɔ,9
ɗafamɔ,7
kpíɗí,25
Mɔɔ-man-nú,1
ŋgee-gui-mɔ,2
gba-paa-de-ŋgai,1
ye-ndɛŋgɛ,4
gɔmŋmaa-nɛ-ɓu-yiitoo,4
wi-gbak,6
Gba-tɔp,30
ŋgáí,6
hé,12
okoo-de-mɔ,4
Rahab,22
Jeriko'e,1
garo-ye,5
kan-fon,1
nú-horo,1
ɔ̧si̧,17
kii'nɛ́,4
hú̧sí,13
gba̧a̧-pɛr,7
kan'i,1
woi-tua'i,2
wi-ndak-ɗoŋ-wa,1
sia,7
naka-tɛ,26
ya'i,2
kilomɛtrɛ,14
gɔ́,2
dukbíí.,2
nɔɔ-tɔk'e,1
nɔɔ-tɔk'i,7
Sartaŋ,3
foka-a,7
kóŋgó-ɓaa'nɛ,1
‹Yí,1
ɓɔnsɛnɛ.›,5
ɓu-zua-yiitoo'i,6
booro-ɓu-naar,6
ta-kórò,4
Mbii,1
yambala,17
zu'nɛ́.,1
Ɔɔ,4
koɓo-a,11
ɓɛɛ.,2
zak'i,3
wí-nɛ̀-gɔ̀n-zù,4
wi-kpe-ndaa-gɔtɔ,3
dɔm'i,4
gaia,27
gáí,14
mɔɔ-saaye,2
kpé,30
aa-see-mɔ,22
ir'nɛ́,2
zú̧,6
fom'i,5
wora-a,2
éé,4
Zabdi,7
Bɛt-Avɛn,7
booro-yiitoo,9
ɓu-taar-zua-mɔɔrɔ-ɗoŋ-kpɔk,2
Sɛbarim,1
Gba̧a̧-tɛ,4
ɓíì,2
mɔɔ-fom,9
Tɔ̧ɔ̧-wen,38
yinɛ.›,8
Wi-de-mɔɔ-fom,1
wì,1
Wɔ-a,1
ɗɔɔ-aa'i,1
Akɔr,5
Nin'i,2
booro-ɓu-taar,10
hú̧sì,1
er'nɛ,3
fara-hu̧sa̧-a̧,2
booro-mɔɔrɔ,10
gayamɔ,10
ndáká,1
sɛ́ɛ̀,56
er-mɛ.,7
wi-ndak-pata,4
tura-a,2
booro-ɓu-zua-yiitoo,21
yumbi,2
Reeta,2
hira-nù,6
Gabaɔŋ,46
ɓusu-a,1
héé,35
Astarot,5
wee-aa,11
kútú-kútú,12
Kɛfira,2
Bɛrot,11
Kiriat-Yearim,19
wi-gɔm-gua,3
wi-ɗu-yì,3
nú'ɛ,3
Kíí,6
Adonisedɛk,2
Jerusalɛm,820
ye-wan,4
Hoham,1
Piream,1
Yarmut,7
Jafia,1
Lakis,24
Debir,12
Eglɔŋ,17
gár,6
Gilgal'e,1
kpàŋá,5
Bɛt-Hɔrɔŋ,15
Azɛka,6
Makeda,9
kóró-ɓɔrɔ,4
Ayalɔŋ,9
Wi-de-mɔ,25
kín,5
nɔ'ɔ.,2
Kale,6
Horam,1
Gezɛr,14
wi-saaye,1
Yabin,8
Asɔr,8
Madɔŋ,2
Aksaf,3
Tɔp,2
Kinarot,1
Dɔr,7
Mɛrɔm,3
ɗaɗi,8
Misrefot-Maim,2
Mispɛ,6
ŋmaa'i,8
Halak,2
Bal-Gat,3
ŋgai-biro,1
Anab,2
Asdod,22
Kinɛrot,2
Bɛt-Yesimɔt,1
Gedɛr,2
Tapua,6
Afɛk,6
Lasarɔŋ,1
Simrɔŋ-Mɛrɔŋ,1
Tanak,7
Mɛgido,12
Kɛdɛs,11
Yoknɛam,3
Karmɛl,29
ɓu-taar-zua-kpɔk,4
pɛ-a,7
pɛ-mɛ,3
Nu'i,4
Sihɔr,1
Askelɔŋ,13
Meara,1
Afɛka,2
Gebal,4
wi-ɔ-mgbara,1
gboŋgo'i,2
tɔyɛɛ,6
gɔn-see-nù,5
gbìsí-nù,3
gɔn-see-nu,1
Bɛt-Bal-Mɛɔŋ,1
Mefat,2
Sibna,3
Sɛrɛt-Has-Sahar,1
Rekɛm,2
Rɛba,1
Gbìsí-nù,6
Ramat-Mispɛ,1
Betonim,1
gbìsí,9
Bɛt-Haram,1
Safɔŋ,2
gbárà,5
kɔ̧a̧.›,2
ɓu-mɔɔrɔ-ɗoŋ-taar-zua-mɔɔrɔ,2
yara-a,10
Arba,3
Adar,3
Karka,1
ɗɔŋgɔ-yì,2
Bɛt-Hogla,3
Bɛt-Araba,3
Bohan,2
Adumim,2
Ɛn-Sɛmɛs,2
Ɛn-Rogɛl,5
Bɛn-Hinɔm,6
Hinɔm,5
zu-zer-yì,4
Nɛftoa,2
Bala,5
Yarim,1
Kɛsalɔŋ,1
Bɛt-Sɛmɛs,22
Sikarɔŋ,1
Yabnɛl,2
Ahinam,1
Talmai,4
Kiriat-Sefɛr,4
Aksa,9
Otniɛl,9
gbárá,1
Kabsɛl,3
Edɛr,4
Yagur,1
Kina,1
Dimɔna,1
Adeada,1
Yitnaŋ,1
Zif,14
Tɛlɛm,2
Bealot,2
Asɔr-Adata,1
Keriot-Ɛsrɔŋ,1
Amam,1
Sema,1
Mɔlada,4
Hasargada,1
Hɛsemɔŋ,1
Bɛt-Pɛlɛt,2
Hasar-Sual,4
Biziotia,1
Iyim,1
Esɛm,2
Ɛltolad,2
Kezil,1
Siklag,14
Madmana,2
Sansana,1
Lebaot,1
Silɛhim,1
Rimɔŋ,11
Ɛstaɔl,8
Sorea,7
Asna,3
Zanɔa,4
Ɛn-Ganim,3
Ɛinam,2
Soko,7
Asɛka,1
Saraim,3
Aditaim,1
Gedera,1
Gederotayim,1
Senaŋ,1
Hadasa,1
Migdalgad,1
Dilean,1
Yokteɛl,1
Boskat,2
Kabɔŋ,1
Lamas,1
Kitlis,1
Gederot,2
Bɛt-Dagɔŋ,2
Nama,2
Etɛr,2
Asaŋ,4
Yifta,1
Nɛsib,1
Kɛila,18
Akzib,4
Marɛsa,8
Samir,4
Yatir,6
Dana,1
Kiriat-Sana,1
Ɛstɛmɔ,1
Anim,1
Hɔlɔŋ,2
Gilo,4
Ara,7
Eseaŋ,1
Yanum,1
Bɛt-Tapua,1
Humɛta,1
Siɔr,1
Maɔŋ,8
Yut,1
Yizreɛl,47
Yokdeam,1
Kayin,1
Gibea,47
Halul,1
Bɛt-Sur,4
Gedɔr,1
Marat,1
Bɛt-Anɔt,1
Ɛltekɔŋ,1
Kiriat-Bal,2
Midin,1
Sekaka,1
Nibsaŋ,1
Ye,33
Ɛn-Gedi,6
Yaflɛt,3
Atrɔt-Adar,2
Mikmɛtat,2
Tanat-Silo,1
Yanɔa,3
Narata,1
Abiezɛr,5
Helɛk,1
Azriɛl,4
Sɛkɛm,2
Sɛlɔfɛhad,3
Hɛfɛr,3
Kɔ̧-a̧,7
bu̧i̧-nya-wa,2
Yamim,1
Ɛin-Tapua,1
be-zer'i,2
Bɛt-Seaŋ,10
Yiblɛam,3
Ɛn-Dɔr,3
zu-kaya,2
pɔ́í,5
kombo,40
keekee-nyaŋa-boi,1
gɔ́m,17
bɛɛ-aa,1
Silo,38
hɛ̧ɛ̧.,7
Tani,8
haɗi,7
Gelilot,3
Emɛk-Kesis,1
Semaraim,1
Abim,1
Para,1
Ofra,8
Kefar-Amɔna,1
Ofni,1
Geba,13
Kefira,2
Mɔsa,6
Yirpɛl,1
Tareala,1
Elɛf,1
Gibea-Kiriat,1
Betul,1
Bɛt-Markabot,2
Hasar-Susa,1
